Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-04 23:50:00,2025-12-04 18:20:00,141.54,142.2,141.54,142.16,1955.209,Bullish
2025-12-04 23:55:00,2025-12-04 18:25:00,142.16,142.21,141.96,142.05,1348.444,Bearish
2025-12-05 00:00:00,2025-12-04 18:30:00,142.05,142.07,141.81,141.82,1460.037,Bearish
2025-12-05 00:05:00,2025-12-04 18:35:00,141.82,142.11,141.75,141.77,644.801,Bearish
2025-12-05 00:10:00,2025-12-04 18:40:00,141.77,141.77,140.8,140.91,10237.156,Bearish
2025-12-05 00:15:00,2025-12-04 18:45:00,140.91,141.0,140.44,140.76,12458.765,Bearish
2025-12-05 00:20:00,2025-12-04 18:50:00,140.76,140.89,140.41,140.59,1797.901,Bearish
2025-12-05 00:25:00,2025-12-04 18:55:00,140.59,140.75,140.36,140.75,2293.801,Bullish
2025-12-05 00:30:00,2025-12-04 19:00:00,140.75,140.83,140.34,140.4,2227.597,Bearish
2025-12-05 00:35:00,2025-12-04 19:05:00,140.4,140.67,140.36,140.43,1964.628,Bullish
2025-12-05 00:40:00,2025-12-04 19:10:00,140.43,140.44,138.93,138.94,18514.1,Bearish
2025-12-05 00:45:00,2025-12-04 19:15:00,138.94,139.31,138.65,138.68,12803.532,Bearish
2025-12-05 00:50:00,2025-12-04 19:20:00,138.68,138.79,137.82,137.92,18950.784,Bearish
2025-12-05 00:55:00,2025-12-04 19:25:00,137.92,138.97,137.89,138.8,10873.726,Bullish
2025-12-05 01:00:00,2025-12-04 19:30:00,138.8,139.69,138.62,139.12,6671.487,Bullish
2025-12-05 01:05:00,2025-12-04 19:35:00,139.12,139.73,139.11,139.59,6859.168,Bullish
2025-12-05 01:10:00,2025-12-04 19:40:00,139.59,139.78,139.39,139.65,7212.429,Bullish
2025-12-05 01:15:00,2025-12-04 19:45:00,139.65,140.04,139.54,139.98,5361.329,Bullish
2025-12-05 01:20:00,2025-12-04 19:50:00,139.98,139.99,139.51,139.74,2463.935,Bearish
2025-12-05 01:25:00,2025-12-04 19:55:00,139.74,139.86,139.61,139.66,1371.479,Bearish
